jargon,translation,discipline
Double Bind,"A situation in which an individual is given two different and incompatible demands, and cannot avoid being in conflict with one or the other.",Psychology
Receptor Agonist,"A substance that binds to a specific receptor and triggers a response in the cell, often mimicking the action of a naturally occurring substance.",Psychology
Proactive Interference,A phenomenon where previously learned information hinders the ability to remember new information.,Psychology
Retroactive Interference,A phenomenon where new information makes it harder to recall old information.,Psychology
Hippocampus,A section of the brain important for learning and memory.,Psychology
Neurotransmitters,Chemicals in the brain that transmit signals from a neuron to a target cell across a synapse.,Psychology
Somatization,The expression of mental phenomena as physical (somatic) symptoms.,Psychology
Prospective Memory,Remembering to perform a planned action or intention at the appropriate time in the future.,Psychology
Unconditioned Stimulus,"Something that triggers a natural, reflexive response without any learning.",Psychology
Zone of Proximal Development,"The gap between what a learner can do without help and what they can't do, even with assistance.",Psychology
Defense Mechanisms,Unconscious strategies that the mind uses to protect itself from distress.,Psychology
Cognitive Appraisal,A theory suggesting that our emotional response to a situation is based on our interpretation of that situation.,Psychology
Social Facilitation,The tendency for people to perform differently when in the presence of others than when alone.,Psychology
Self-fulfilling Prophecy,A prediction that directly or indirectly causes itself to become true due to positive feedback between belief and behavior.,Psychology
Normative Social Influence,The influence of other people on our behavior to be accepted and liked by them.,Psychology
Epigenetics,"Study of changes in organisms due to modification of gene expression, not alteration of the genetic code itself.",Psychology
Prosopagnosia,A neurological disorder characterized by the inability to recognize faces.,Psychology
Cathexis,"The process of investing mental or emotional energy into a person, object, or idea.",Psychology
